poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
1,motorcycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,1,1
2,shelter,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
3,parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,1,1
4,place_of_worship,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
5,barn,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
6,silo,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
7,roof,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
8,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,1,1
9,fountain,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
10,restaurant,"1,000 Sq. Ft. GFA",1,0.1,7.8,1,1
11,shed,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
12,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
13,university,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
14,car_wash,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
15,post_office,"1,000 Sq. Ft. GFA",1,11.21,0.1,1,1
16,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
17,public,"1,000 Sq. Ft. GFA",1,4.79,0.1,1,1
18,smoking_area,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
19,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,1
20,bench,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
21,ice_cream,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
22,arts_centre,"1,000 Sq. Ft. GFA",1,0.18,0.1,1,1
23,yes,"1,000 Sq. Ft. GFA",1,1.15,1.15,1,1
24,bar,"1,000 Sq. Ft. GFA",1,0.1,7.8,1,1
25,childcare,"1,000 Sq. Ft. GFA",1,11.12,0.1,1,1
26,house,"1,000 Sq. Ft. GFA",1,0.1,0.48,1,1
27,greenhouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
28,bleachers,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
29,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,1
30,university;yes,"1,000 Sq. Ft. GFA",1,1.17,0.1,1,1
31,commercial,"1,000 Sq. Ft. GFA",1,0.1,3.81,1,1
32,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,1,1
33,school,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,1
34,fuel,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
35,waste_disposal,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
36,residential,"1,000 Sq. Ft. GFA",1,0.1,0.48,1,1
37,stadium,"1,000 Sq. Ft. GFA",1,0.1,0.47,1,1
38,police,"1,000 Sq. Ft. GFA",1,0.1,0.1,1,1
39,fast_food,"1,000 Sq. Ft. GFA",1,0.1,14.13,1,1
40,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,1,1
41,pharmacy,"1,000 Sq. Ft. GFA",1,10.29,0.1,1,1
42,library,"1,000 Sq. Ft. GFA",1,8.16,0.1,1,1
43,apartments,"1,000 Sq. Ft. GFA",1,0.1,0.48,1,1
44,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,1,1
