name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,80215313,,,,,secondary,0,-96.7353652,43.5003409,,,
,1,80215317,,,,,residential,0,-96.7353079,43.4997261,,,
,2,80215322,,,,,residential,0,-96.7347726,43.4989109,,,
,3,80215330,,,,,residential,0,-96.7337656,43.4982298,,,
,4,80215343,,,,,residential,0,-96.7310107,43.497268,,,
,5,80215349,,,,,residential,0,-96.7303978,43.497046,,,
,6,1028818489,traffic_signals,,signal,,secondary,0,-96.7908254,43.5002771,,,
,7,80215377,,,,,residential,0,-96.7920143,43.4971045,,,
,8,80215379,,,,,residential,0,-96.7924701,43.4963865,,,
,9,80215383,,,,,residential,0,-96.7930111,43.4955939,,,
,10,80215390,,,,,residential,0,-96.79383,43.4947198,,,
,11,80278454,turning_circle,11,,,residential,2,-96.7942449,43.4942544,,,
,12,80215459,,,,,residential,0,-96.8105676,43.4959609,,,
,13,80215475,,,,,residential,0,-96.8107678,43.4932879,,,
,14,80215488,,,,,residential,0,-96.8096852,43.4906113,,,
,15,80215580,,,,,secondary,0,-96.7077388,43.4926295,,,
,16,80215587,,,,,residential,0,-96.7036406,43.4926055,,,
,17,80215930,,,,,tertiary,0,-96.7418066,43.4945552,,,
,18,80215943,,,,,residential,0,-96.741382,43.496249,,,
,19,80215949,,,,,residential,0,-96.74075,43.496463,,,
,20,80215953,,,,,residential,0,-96.739373,43.496857,,,
,21,80215999,turning_circle,21,,,residential,2,-96.740333,43.495297,,,
,22,80216004,,,,,residential,0,-96.8118985,43.4915412,,,
,23,80216006,,,,,residential,0,-96.814538,43.491544,,,
,24,80216010,,,,,residential,0,-96.7606323,43.4927199,,,
,25,80216012,,,,,residential,0,-96.7614918,43.4920531,,,
,26,80216037,,,,,residential,0,-96.7595701,43.4903453,,,
,27,80216041,,,,,residential,0,-96.725704,43.496092,,,
,28,80216055,turning_circle,28,,,residential,2,-96.7266936,43.4952623,,,
,29,80294795,motorway_junction,,,,motorway,0,-96.7859412,43.4926499,,,
,30,80219498,,,,,motorway,0,-96.7972108,43.4812239,,,
,31,80224699,,,,,residential,0,-96.6988986,43.4972463,,,
,32,80224716,,,,,residential,0,-96.6993307,43.4943426,,,
,33,80226842,,,,,tertiary,0,-96.7572132,43.496874,,,
,34,80226853,,,,,residential,0,-96.7573673,43.497545,,,
,35,2465105896,,35,,,residential,2,-96.7587333,43.4976285,,,
,36,80227342,motorway_junction,,,,motorway,0,-96.762597,43.4983598,,,
,37,2445411692,,,,,motorway,0,-96.7684085,43.4970702,,,
,38,80230322,,,,,residential,0,-96.725619,43.490698,,,
,39,80230329,,,,,residential,0,-96.7257405,43.4896439,,,
,40,1375180870,,,,,residential,0,-96.7257386,43.4895242,,,
,41,80803053,,,,,secondary,0,-96.814212,43.50031,,,
,42,80230529,,,,,residential,0,-96.81435,43.498913,,,
,43,80239311,,,,,residential,0,-96.722085,43.487589,,,
,44,80230798,,,,,residential,0,-96.722567,43.4863416,,,
,45,80283291,turning_circle,45,,,residential,2,-96.7256691,43.4838476,,,
,46,80283246,,,,,residential,0,-96.7269098,43.4861748,,,
,47,2462411165,,,,,residential,0,-96.7274046,43.4862051,,,
,48,80230929,,,,,residential,0,-96.7275957,43.4862043,,,
,49,80232181,,,,,residential,0,-96.749547,43.492302,,,
,50,80232220,,,,,residential,0,-96.7508933,43.4941732,,,
,51,80232488,,,,,residential,0,-96.7657387,43.480257,,,
,52,80232490,,52,,,residential,2,-96.7657232,43.4797408,,,
,53,80232808,,,,,residential,0,-96.7614316,43.479909,,,
,54,80232819,,,,,residential,0,-96.760772,43.4792055,,,
,55,80232844,,,,,residential,0,-96.7591305,43.4780394,,,
,56,80233053,,,,,residential,0,-96.7693177,43.4763225,,,
,57,80233055,,,,,residential,0,-96.7673027,43.4762799,,,
,58,80233089,,,,,residential,0,-96.7329517,43.4895667,,,
,59,9318322966,,,,,residential,0,-96.732953,43.4896441,,,
,60,80233102,,,,,residential,0,-96.7300032,43.4898174,,,
,61,80233140,,,,,residential,0,-96.7489145,43.4895984,,,
,62,1351702572,,,,,secondary,0,-96.7504787,43.4896126,,,
,63,80233151,,,,,residential,0,-96.7300015,43.489556,,,
,64,80230902,,,,,residential,0,-96.7295088,43.4858939,,,
,65,80233196,,,,,residential,0,-96.7294741,43.4837731,,,
,66,1351495811,,,,,residential,0,-96.7294874,43.4823349,,,
,67,9318322971,,,,,residential,0,-96.7337921,43.4896457,,,
,68,80233212,,,,,residential,0,-96.7337957,43.4895711,,,
,69,80233220,,,,,residential,0,-96.7332428,43.4883696,,,
,70,80233222,,,,,residential,0,-96.7324516,43.4868144,,,
,71,80230889,,,,,residential,0,-96.7315794,43.4851263,,,
,72,1351702468,turning_circle,72,,,residential,2,-96.7536973,43.486341,,,
,73,2013909126,,,,,residential,0,-96.7523186,43.4857175,,,
,74,80233619,,,,,residential,0,-96.7482025,43.4860133,,,
,75,80233663,,,,,residential,0,-96.7424182,43.4890448,,,
,76,80233687,,,,,residential,0,-96.7450888,43.4881836,,,
,77,80233638,,,,,residential,0,-96.7450833,43.4860016,,,
,78,80233697,,,,,residential,0,-96.7424308,43.4874012,,,
,79,80233725,,,,,residential,0,-96.7404981,43.4855773,,,
,80,80232289,,,,,residential,0,-96.7513275,43.4912803,,,
,81,80234551,,,,,tertiary,0,-96.7521549,43.4941698,,,
,82,80234646,turning_circle,82,,,residential,2,-96.7385038,43.4888571,,,
,83,5082761294,,,,,residential,0,-96.7394771,43.4887751,,,
,84,80234660,,,,,residential,0,-96.7397722,43.4895835,,,
,85,80234692,,,,,residential,0,-96.7414672,43.4895848,,,
,86,9318322962,,,,,residential,0,-96.7414662,43.4896577,,,
,87,80234694,,,,,residential,0,-96.7414592,43.4901615,,,
,88,80234703,,,,,residential,0,-96.7416515,43.4910599,,,
,89,80234721,,,,,residential,0,-96.7432784,43.4927612,,,
,90,80235180,,,,,residential,0,-96.7541978,43.4899313,,,
,91,1562707122,,,,,residential,0,-96.7538323,43.4917884,,,
,92,80235207,,,,,residential,0,-96.7606115,43.4770677,,,
